中文名称,拉丁学名,英文名称,特征描述,分布情况,保护级别,别名
帝王蝶,Danaus plexippus,Monarch,"帝王蝶体型较大，翅膀上有明显的橙色和黑色斑纹，边缘有白色点状图案。","广泛分布于美洲地区，夏季可见于加拿大和美国北部，秋季迁徙至美国南部和墨西哥。",无,
斑蝶,Heliconius charitonius,Zebra Longwing,"斑蝶翅膀呈黑色，带有黄色或橙色的纵向条纹，形态优雅。","主要分布于中美洲和南美洲的热带地区。",无,
红带长尾蝶,Heliconius erato,Crimson-patched Longwing,"红带长尾蝶翅膀黑色，带有红色或橙色的斑块，尾部有细长的尾须。","分布于中南美洲的热带雨林地区。",无,
普通眼蝶,Junonia coenia,Common Buckeye,"普通眼蝶翅膀上有明显的眼状斑纹，底色为棕色或橙色，具有独特的图案。","主要分布于北美洲，夏季可见于美国北部，秋季迁徙至南部地区。",无,
美洲铜蝶,Lycaena phlaeas,American Copper,"美洲铜蝶体型小巧，翅膀呈铜绿色或橙色，边缘有黑色斑点。","分布于北美洲的草原和开阔地区。",无,
哀蝶,Nymphalis antiopa,Mourning Cloak,"哀蝶翅膀呈深褐色，带有紫色和黄色的斑纹，边缘有白色点状图案。","分布于北美洲、欧洲和亚洲的森林地区。",无,
巨大燕尾蝶,Papilio cresphontes,Giant Swallowtail,"巨大燕尾蝶翅膀黑色，带有黄色斑点和条纹，尾部有明显的燕尾形状。","主要分布于美国南部和中美洲地区。",无,
白粉蝶,Pieris rapae,Cabbage White,"白粉蝶体型小，翅膀白色，带有黑色斑点，常见于菜地和花园。","广泛分布于全球，尤其在温带地区常见。",无,
红点粉蝶,Vanessa atalanta,Red Admiral,"红点粉蝶翅膀黑色，带有红色带状图案和白色斑点，飞行姿态优雅。","分布于北美洲、欧洲和亚洲的森林和花园地区。",无,
彩带粉蝶,Vanessa cardui,Painted Lady,"彩带粉蝶翅膀橙色，带有黑色和白色斑纹，常见于田野和花园。","分布于全球，尤其在温带地区常见。",无,
